model,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.8089887640449438,0.7833333333333333,0.6911764705882353,0.734375,0.8609625668449199
Decision Tree,0.7696629213483146,0.6901408450704225,0.7205882352941176,0.7050359712230215,0.754144385026738
Random Forest,0.8089887640449438,0.765625,0.7205882352941176,0.7424242424242424,0.8195855614973262
Logistic Regression Balanced,0.7921348314606742,0.7183098591549296,0.75,0.7338129496402878,0.8612299465240643
Logistic Regression SMOTE,0.797752808988764,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.866711229946524
Random Forest Tuned,0.8314606741573034,0.8653846153846154,0.6617647058823529,0.75,0.838903743315508
